"Column Name","Label"
"B06009_014MA","Annotation of Margin of Error!!Total:!!Born in other state in the United States:!!Less than high school graduate"
"B06009_015E","Estimate!!Total:!!Born in other state in the United States:!!High school graduate (includes equivalency)"
"B06009_015EA","Annotation of Estimate!!Total:!!Born in other state in the United States:!!High school graduate (includes equivalency)"
"B06009_015M","Margin of Error!!Total:!!Born in other state in the United States:!!High school graduate (includes equivalency)"
"B06009_015MA","Annotation of Margin of Error!!Total:!!Born in other state in the United States:!!High school graduate (includes equivalency)"
"B06009_016E","Estimate!!Total:!!Born in other state in the United States:!!Some college or associate's degree"
"B06009_016EA","Annotation of Estimate!!Total:!!Born in other state in the United States:!!Some college or associate's degree"
"B06009_016M","Margin of Error!!Total:!!Born in other state in the United States:!!Some college or associate's degree"
"B06009_016MA","Annotation of Margin of Error!!Total:!!Born in other state in the United States:!!Some college or associate's degree"
"B06009_017E","Estimate!!Total:!!Born in other state in the United States:!!Bachelor's degree"
"B06009_017EA","Annotation of Estimate!!Total:!!Born in other state in the United States:!!Bachelor's degree"
"B06009_017M","Margin of Error!!Total:!!Born in other state in the United States:!!Bachelor's degree"
"B06009_017MA","Annotation of Margin of Error!!Total:!!Born in other state in the United States:!!Bachelor's degree"
"B06009_018E","Estimate!!Total:!!Born in other state in the United States:!!Graduate or professional degree"
"B06009_018EA","Annotation of Estimate!!Total:!!Born in other state in the United States:!!Graduate or professional degree"
"B06009_018M","Margin of Error!!Total:!!Born in other state in the United States:!!Graduate or professional degree"
"B06009_018MA","Annotation of Margin of Error!!Total:!!Born in other state in the United States:!!Graduate or professional degree"
"B06009_019E","Estimate!!Total:!!Native; born outside the United States:"
"B06009_019EA","Annotation of Estimate!!Total:!!Native; born outside the United States:"
"B06009_019M","Margin of Error!!Total:!!Native; born outside the United States:"
"B06009_019MA","Annotation of Margin of Error!!Total:!!Native; born outside the United States:"
"B06009_020E","Estimate!!Total:!!Native; born outside the United States:!!Less than high school graduate"
"B06009_020M","Margin of Error!!Total:!!Native; born outside the United States:!!Less than high school graduate"
"B06009_020MA","Annotation of Margin of Error!!Total:!!Native; born outside the United States:!!Less than high school graduate"
"B06009_020EA","Annotation of Estimate!!Total:!!Native; born outside the United States:!!Less than high school graduate"
"B06009_021E","Estimate!!Total:!!Native; born outside the United States:!!High school graduate (includes equivalency)"
"B06009_021EA","Annotation of Estimate!!Total:!!Native; born outside the United States:!!High school graduate (includes equivalency)"
"B06009_021M","Margin of Error!!Total:!!Native; born outside the United States:!!High school graduate (includes equivalency)"
"B06009_021MA","Annotation of Margin of Error!!Total:!!Native; born outside the United States:!!High school graduate (includes equivalency)"
"B06009_022E","Estimate!!Total:!!Native; born outside the United States:!!Some college or associate's degree"
"B06009_022EA","Annotation of Estimate!!Total:!!Native; born outside the United States:!!Some college or associate's degree"
"B06009_022M","Margin of Error!!Total:!!Native; born outside the United States:!!Some college or associate's degree"
"B06009_022MA","Annotation of Margin of Error!!Total:!!Native; born outside the United States:!!Some college or associate's degree"
"B06009_023E","Estimate!!Total:!!Native; born outside the United States:!!Bachelor's degree"
"B06009_023EA","Annotation of Estimate!!Total:!!Native; born outside the United States:!!Bachelor's degree"
"B06009_023M","Margin of Error!!Total:!!Native; born outside the United States:!!Bachelor's degree"
"B06009_023MA","Annotation of Margin of Error!!Total:!!Native; born outside the United States:!!Bachelor's degree"
"B06009_024E","Estimate!!Total:!!Native; born outside the United States:!!Graduate or professional degree"
"B06009_024EA","Annotation of Estimate!!Total:!!Native; born outside the United States:!!Graduate or professional degree"
"B06009_024M","Margin of Error!!Total:!!Native; born outside the United States:!!Graduate or professional degree"
"B06009_024MA","Annotation of Margin of Error!!Total:!!Native; born outside the United States:!!Graduate or professional degree"
"B06009_025E","Estimate!!Total:!!Foreign born:"
"B06009_025EA","Annotation of Estimate!!Total:!!Foreign born:"
"B06009_025M","Margin of Error!!Total:!!Foreign born:"
"B06009_025MA","Annotation of Margin of Error!!Total:!!Foreign born:"
"B06009_026E","Estimate!!Total:!!Foreign born:!!Less than high school graduate"
"B06009_026EA","Annotation of Estimate!!Total:!!Foreign born:!!Less than high school graduate"
"B06009_026M","Margin of Error!!Total:!!Foreign born:!!Less than high school graduate"
"B06009_026MA","Annotation of Margin of Error!!Total:!!Foreign born:!!Less than high school graduate"
"B06009_027E","Estimate!!Total:!!Foreign born:!!High school graduate (includes equivalency)"
